id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fragment_scans
43,0.8044,0.7892,10.6126,382.17157,382.1694,382.17374,1.408E6,4.481E5,1.012E5,1.408E6,2,DETECTED,382.17157,382.1694,382.17374,0.8044,0.7892,10.6126,1.408E6,4.481E5,1.012E5,1.408E6,0.028,216.3708,394.3845,2
44,0.8044,0.7456,7.1359,393.10073,393.1004,393.1026,9.947E5,5.682E4,1.059E5,9.947E5,0,DETECTED,393.10073,393.1004,393.1026,0.8044,0.7456,7.1359,9.947E5,5.682E4,1.059E5,9.947E5,0.0446,54.3598,171.7133,
45,0.8044,0.7678,9.332,393.13732,393.13391,393.14023,1.787E6,1.601E5,1.017E5,1.787E6,0,DETECTED,393.13732,393.13391,393.14023,0.8044,0.7678,9.332,1.787E6,1.601E5,1.017E5,1.787E6,0.2256,105.2399,8.0608,
46,0.8044,0.7892,2.3738,402.23878,402.23822,402.23941,5.903E5,1.351E5,1.063E5,5.903E5,2,DETECTED,402.23878,402.23822,402.23941,0.8044,0.7892,2.3738,5.903E5,1.351E5,1.063E5,5.903E5,1.3624,52.1601,75.4167,2
47,0.8044,0.7678,8.3794,407.11687,407.11368,407.11877,1.427E6,1.329E5,1.009E5,1.427E6,0,DETECTED,407.11687,407.11368,407.11877,0.8044,0.7678,8.3794,1.427E6,1.329E5,1.009E5,1.427E6,0.2322,99.9567,24.4053,
48,0.8044,0.7678,9.2165,407.15243,407.14966,407.15546,7.1E5,1.548E5,1.006E5,7.1E5,0,DETECTED,407.15243,407.14966,407.15546,0.8044,0.7678,9.2165,7.1E5,1.548E5,1.006E5,7.1E5,0.2449,115.6384,170.9596,
49,0.8044,0.7678,9.0221,420.14889,420.14755,420.15076,1.23E6,1.528E5,1.039E5,1.23E6,0,DETECTED,420.14889,420.14755,420.15076,0.8044,0.7678,9.0221,1.23E6,1.528E5,1.039E5,1.23E6,0.2307,55.8189,133.7528,
50,0.8044,0.7892,11.825,421.18507,421.18115,421.18576,2.053E6,4.675E6,1.019E5,2.053E6,15,DETECTED,421.18507,421.18115,421.18576,0.8044,0.7892,11.825,2.053E6,4.675E6,1.019E5,2.053E6,6.5212,9.4259,698.205,15
51,0.8044,0.7892,11.2969,483.22176,483.21802,483.224,6.805E5,1.351E6,1.016E5,6.805E5,0,DETECTED,483.22176,483.21802,483.224,0.8044,0.7892,11.2969,6.805E5,1.351E6,1.016E5,6.805E5,8.2051,345.8732,394.0705,
52,0.8044,0.7892,11.7282,493.2058,493.20181,493.20773,1.691E6,3.842E6,1.009E5,1.691E6,11,DETECTED,493.2058,493.20181,493.20773,0.8044,0.7892,11.7282,1.691E6,3.842E6,1.009E5,1.691E6,7.5338,351.7938,683.9634,11
