id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fragment_scans
41,0.7996,0.7155,4.788,301.13946,301.13754,301.14008,6.57E5,2.026E5,1.09E5,6.57E5,0,DETECTED,301.13946,301.13754,301.14008,0.7996,0.7155,4.788,6.57E5,2.026E5,1.09E5,6.57E5,0.3708,24.232,1.4181,
42,0.7996,0.7769,10.781,303.15537,303.15393,303.15845,1.842E6,2.51E5,1.026E5,1.842E6,1,DETECTED,303.15537,303.15393,303.15845,0.7996,0.7769,10.781,1.842E6,2.51E5,1.026E5,1.842E6,9.9925,20.7712,30.8939,1
43,0.7996,0.7322,1.0521,305.08478,305.08456,305.08508,1.616E6,1.431E5,1.061E5,1.616E6,2,DETECTED,305.08478,305.08456,305.08508,0.7996,0.7322,1.0521,1.616E6,1.431E5,1.061E5,1.616E6,0.0579,3.6767,5.3347,2
44,0.7996,0.7769,7.475,306.1544,306.15305,306.15536,8.693E5,4.617E5,1.002E5,8.693E5,0,DETECTED,306.1544,306.15305,306.15536,0.7996,0.7769,7.475,8.693E5,4.617E5,1.002E5,8.693E5,0.2606,147.5808,146.4673,
45,0.7996,0.7555,10.7993,307.15171,307.14844,307.1532,2.092E6,2.531E5,1.072E5,2.092E6,6,DETECTED,307.15171,307.14844,307.1532,0.7996,0.7555,10.7993,2.092E6,2.531E5,1.072E5,2.092E6,8.3656,2.6269,2.9802,6
46,0.7996,0.7322,9.8048,310.14997,310.14725,310.15256,5.139E6,1.048E6,1.005E5,5.139E6,4,DETECTED,310.14997,310.14725,310.15256,0.7996,0.7322,9.8048,5.139E6,1.048E6,1.005E5,5.139E6,5.0985,17.6174,2.7967,4
47,0.7996,0.7555,1.584,319.10061,319.09979,319.10208,1.89E6,3.607E5,1.04E5,1.89E6,3,DETECTED,319.10061,319.09979,319.10208,0.7996,0.7555,1.584,1.89E6,3.607E5,1.04E5,1.89E6,0.4173,17.1812,23.0078,3
48,0.7996,0.7769,7.2637,322.14912,322.1474,322.15039,7.437E5,4.913E5,1.009E5,7.437E5,0,DETECTED,322.14912,322.1474,322.15039,0.7996,0.7769,7.2637,7.437E5,4.913E5,1.009E5,7.437E5,4.4338,142.9268,215.6324,
49,0.7996,0.7555,10.7636,324.1657,324.16257,324.16888,5.585E6,1.076E6,1.004E5,5.585E6,5,DETECTED,324.1657,324.16257,324.16888,0.7996,0.7555,10.7636,5.585E6,1.076E6,1.004E5,5.585E6,5.477,115.113,14.4425,5
50,0.7996,0.7769,1.9283,333.16583,333.16461,333.16635,1.055E6,1.528E5,1.009E5,1.055E6,0,DETECTED,333.16583,333.16461,333.16635,0.7996,0.7769,1.9283,1.055E6,1.528E5,1.009E5,1.055E6,0.2639,18.1771,48.7594,
51,0.7996,0.7555,8.7934,338.1813,338.17993,338.18338,3.297E6,7.985E5,1.009E5,3.297E6,8,DETECTED,338.1813,338.17993,338.18338,0.7996,0.7555,8.7934,3.297E6,7.985E5,1.009E5,3.297E6,0.481,20.3166,2.2636,8
